# List created using the lists from:
# http://www.issn.org/2-22660-LTWA.php
-agoge	-ag
chronique	chron
chronisch	chron
chronobiolog-	chronobiol
chronobiotechnolog-	chronobiotechnol
chronolog-	chronol
chronometr-	chronom
chronopharmacolog-	chronopharmacol
chronostratigraphic	chronostratigr
chronotherap-	chronother
chronotheque	chronoth
chronycke	chron
chrysalis	chrysal
chrysanth-	chrysanth
chrzescij-	chrzesc
chubutian-	chubut
churchman	churchm
chyfrifon	chyfri
chymique	chym
chypr-	chypr
chodn-	chod
chopsk-	chop
ciastkarski	ciast
ciagnik	ciag
ciag-	ciag
cibernetic-	cibern
ciclis-	cicl
cicloturis-	ciclotur
cidad-	cid
ciechanowsk-	ciechan
cieklokrystali-	cieklokryst
ciencia	cienc
cientific-	cient
ciepl-	ciepl
ciesz-	ciesz
ciencie	cienc
ciencia	cienc
cifrov-	cifr
cigarette	cigar
cihlarsk-	cihl
cikkszolgalat	cikkszolg
ciklicesk-	cikl
cm-	c
ciment	cim
cimentacion	cim
cimetiere	cimet
cimkentsk-	cimkent
cimlansk-	ciml
cinegetica	cineg
cinema	cine
cinemateca	cinemat
cinematograf-	cinematogr
cinematograph-	cinematogr
cineradiograph-	cineradiogr
cineaste	cine
cinema	cine
cinematheque	cinemath
cinese	cin
cinetique-	cinet
cinofila	Cinof
cipoipar	cipoip
cipotechnika	cipotech
circle	circ
circolar-	circ
circolazione	circ
circonscri-	circonscr
circoscri-	circoscr
circul-	circ
circumstance	circumst
circunscripcion	circunscr
circunstancia	circunst
cirkel	cirk
cirkon-	cirkon
cirkulaer-	cirk
cirkulac-	cirk
cirkular-	cirk
cirkular	cirk
cirkulero	cirk
cirugia	cir
cirujan-	cir
cirurgi-	cir
cistercien-	cistercien
citadin	citad
citation	cit
citator	cit
citizen	citiz
citizenship	citizsh
citoembriologia	citoembriol
citogenet-	citogenet
citograph-	citogr
citohimi-	citohim
citolog-	citol
citomorfolog-	citomorfol
citopatologa	citopatol
citostatic-	citostatic
citotoksin	citotoks
citoyennete	citoyen
citricult-	citric
citricola	citric
citrograph-	citrogr
citrolog-	citrol
cittadino	cittad
citylehti	cityl
Ciudad Autnoma de Buenos Aires	Ciudad Autn. B. Aire
Ciudad Real	Ciudad R
ciudad-	ciudad
ciutad-	ciutad
civic-	civ
civiel	civ
civil	civ
civile	civ
civilian	civ
civilin-	civil
civilisation	civilis
civilised	civilis
civilising	civilis
civilistisch	civ
civilizacion	civiliz
civilizacao	civiliz
civilization	civiliz
civilna	civ
civils	civ
civique-	civ
civis	civ
civitas	civ
civitect	civ
circolo	circ
cimjegyzek	cj
cirkevn-	cirkev
cisar-	cisar
cintare	cint
ckarotmcodneoba	ckarotmc
Clackmannanshire	Clackmannans
clandestin	clandest
clarion	clar
clarin	clar
clarinet	clar
clasa	cl
clase	cl
clasico	clas
clasifi-	clasif
class	cl
classe	cl
classement	classem
classens-	class
classic-	class
classifi-	classif
classique	class
classis	cl
classroom	classr
Clausthaler	Clausthal
clayworker	claywork
cleaner	clean
cleaning	clean
cleansing	clean
clear-	clear
clearance	clear
Clearinghouse	Clgh
Cleethorpes	Cleeth
clerical	cleric
Cleveland	Clevel
clichotheque	clichoth
clientele	client
clientgericht-	clientger
clignotant	clign
climacterium	climact
climat-	clim
climatolog-	climatol
climber	climb
clinic-	clin
clinique-	clin
Clinton	Clint
clipper	clipp
clipping	clipp
clockmak-	clockmak
clockwise	clockw
Cloppenburg	Cloppenbg
closure	clos
clothier	cloth
clothing	cloth
clothworker	clothwork
clotting	clott
clubblad	clubbl
clubhouse	clubh
clubland	clubl
clujeana	cluj
cluster-	clust
co-operative	co-op
co-ordinat-	co-ord
coach-	coach
coagulation	coagul
coagulazione	coagul
coalfield	coalf
coalition	coalit
coastal	coast
coated	coat
coating	coat
cober-	cober
Coburg	Cobg
cocarcinogen-	cocarcinog
Codeplan	Codepl
codif-	codif
codification	codif
codzienn-	codz
coeduca-	coeduc
coefficient	coeff
coerc-	coerc
coerier	coer
Coesfeld	Coesf
coevolution	coevol
cofrad-	cofr
cogenerat-	cogener
cogitat-	cogit
cognate	cogn
cogniscience	cognisci
cognit-	cogn
cogniz-	cogniz
cograf-	cograf
cohesion	cohes
coiffeur	coiff
coiffure	coiff
coinage	coin
coinhunter	coinhunt
cokemaking	cokemak
colabora-	colab
colateral-	colater
Colchester	Colch
colciencias	colcienc
coleccion-	colecc
coleccao	colecc
colect-	colect
colecao	colec
colegial	col
colegio	col
colegiu	col
coleicion	coleic
coleopter-	coleopt
coleopterolog-	coleopterol
colesterol	colest
coletanea	colet
coletivo	colet
colexio	col
coler-	coler
Colijnsplaat	Colijnspl
collaborat-	collab
collaborazione	collab
collat-	collat
collect-	collect
collectif	collect
collectivita	collectiv
collectivite	collectiv
Colleg	Coll
collegamento	colleg
college-	coll
collegi-	coll
collett-	collett
collezion-	collez
collider	collid
colliebladet	colliebl
collision	collis
colloidal	colloid
colloque-	colloq
colloquia	colloq
colloquium	colloq
colloquiumsbericht-	colloquiumsber
colloquio	colloq
colmarien	colmar
coloca-	coloca
colombia-	colomb
Colombie-Britannique	C.-B
colombophilie	colomboph
coloni-	colon
coloproctologia	coloproctol
coloquio	coloq
color-	color
Colorado	Colo
Colorado Springs	Colo. Spring
colotomy	colotm
colourage	colour
colouring	colour
colourist-	colour
colportage	colport
colposcop-	colposc
coltiv-	coltiv
coltur-	colt
columbofil	columbof
columbofilo	columbof
Columbus	Columb
columnum	column
collabora-	collab
colleccio	collecc
collectiu	collect.
collegi	coll
collegial	coll
colloqui	colloq
comarc-	comarc
comarques	comarq
combat-	combat
combin-	comb
combonian-	combon
combusti-	combust
comed-	comed
Comenianae	Comen
comenta-	coment
comerci-	comer
comestible	comest
cometido	comet
comed-	comed
comfort-	comf
comice	com
comisar-	comis
comisi-	com
comissao	com
comissi-	com
comit-	com
command-	command
commed-	commed
commemorant-	commem
commemorat-	commem
commemorazione	commem
commenc-	commenc
commentaar	comment
commentair-	comment
commentar-	comment
commentat-	comment
commenter	comment
commerc-	commer
commissaire	commis
commissar-	commis
commissie	comm
commission-	comm
commitment	commit
committee	comm
commodit-	commod
commoner	common
commonwealth	commonw
communautair-	communaut
communica-	commun
communiqu-	commun
commut-	commut
compact-	compact
compagnie	cie
companhia	cia
compania	cia
companies	co
company	co
compara-	comp
compare-	comp
compari-	comp
compart-	compart
compatibel	compat
compatibil-	compat
compatible	compat
compend-	compend
compensac-	compens
compensat-	compens
compensaz-	compens
competic-	compet
competing	compet
competit-	compet
competitividad	compet.
competit-	compet
compil-	compil
complain-	complain
compleetheid	compleeth
complement-	complement
complet-	complet
complexity	complex
complementaire	complement
complete-	complet
complicacion-	complic
complicanz-	complic
complicat-	complicat
compliment	complim
complimentary	compliment
complutense	complut
complutensis	complut
component	compon
componente	compon
comportament-	comport
comportamiento	comport
comportement-	comport
compos-	compos
compost-	compost
compostelan-	compostel
compound-	compd
comprador	comprad
comprehensive	compr
comprendre	compr
compresor	compres
compressed	compress
compresseur	compress
compressor	compress
comprehension	compr
comproba	comprob
comptab-	comptab
compte rendu	c. r
comptrol-	comptrol
compulsive	compuls
compulsory	compuls
compunetics	n.
comput-	comput
computerland	computerl
computervision	computerv
comunica-	comun
comunicador	comun
conced-	conced
concentra-	conc
concepcion	concepc
concepteur	concept
conception	concept
conceptual	concept
concernant	concern
concerning	concern
concert-	concert
concertkalender	concertkal
concesion	conces
concession-	concess
concevoir	concev
concholog-	conchol
conchyl-	conchyl
conchyliolog-	conchyliol
concia-	concia
conciante	conci
conciencia	concienc
conciliacion	concil
conciliateur	concil
conciliation	concil
conciliator	concil
concilio	concil
concilium	concil
concimazione	concim
conclusion	conclus
concordado	concord
concordance	concord
concorrencia	concorr
concors-	concors
concrete-	concr
concurent-	concur
concurr-	concurr
concurs-	concurs
condens-	condens
condicionado	cond
condicion	cond
condicao	cond
conditie	cond
condition-	cond
conditortidende	conditortid
condizionamento	condiz
condominium	condom
condott-	condott
conducer-	conduc
conducive	conduc
conduct-	conduct
condutor-	condut
coneix-	coneix
conex-	conex
confecc-	confec
confectie	confect
confection-	confect
confedera-	confed
conferen-	conf
conferimento	conferim
conferint-	conf
conferr-	conferr
confessio	confess
confessional	confess
confessione	confess
confett-	confet
confezione	confez
confidence	confid
confidencial	confid
confidential	confid
confidenz-	confid
configur-	config
confin-	confin
confirmado	confirm
confirmer	confirm
confiscation	confisc
confiserie	confis
confiter-	confit
confiture	confit
conflict	confl
conflicto	confl
conflit	confl
confluence	conflu
confluent	conflu
confoederatio	confoed
conform-	conform
confraternity	confratern
confrontacion	confront
confrontation-	confront
confucianisme	confucian
congenital	congenit
congest-	congest
congedier	conged
congenit-	congenit
congiuntur-	congiunt
conglomerate	conglom
congnosc-	congnosc
congolais-	congo
congregacin	congregac
congregalia	congr
congregat-	congregat
congres-	congr
congresboek	congresb
congregation	congregat
congruencia	congruen
coniect-	coniect
coniferous	conifer
conimbricensis	conimbr
conimbrigensis	conimbr
conjonctur-	conjonct
conjug-	conjug
conjunctuur	conjunct
conjuntur-	conjunt
conmemora-	conmem
conmut-	conmut
connaissance	connaiss
connect-	connect
Connecticut-	Conn
connection-	connect
connective	connect
connector	connect
connexion	connex
conniectaneus	conniect
connoisseur	connoiss
conoc-	conoc
conoscenz-	conosc
conoscitore	conosc
conoscere	conosc
conquering	conqu
conquest	conqu
conquete	conqu
conquista	conqu
conradien	conrad
consacrazione	consacraz
conscienc-	conscienc
consciousness	conscious
conscript-	conscr
conseil-	cons
consej-	cons
consejeria	cons
conselh-	cons
consell-	cons
consensus	consens
consent-	consent
conserv-	conserv
consequence	conseq
consfat-	consfat
consideration	consid
considered	consid
consign-	consign
consili-	cons
consisting	consist
consiglio	cons
consociazione	consoc
consolation	consolat
consolidacion	consol
consolidar	consol
consolidat-	consol
consolider	consol
consomm-	consomm
consorcio	consorc
consortium	consort
conspectus	conspec
conspir-	conspir
constabulary	constabul
constantinian	constantin
constantinois	constantin
constelacion	constel
constelatie	constel
constellation	constell
constituc-	const
constitue-	const
constitut-	const
construccion	constr
construct-	constr
construcao	constr
construire	constr
construtivo	constr
consuetudinus	consuetud
consulaire	consul
consular	consul
consulenza	consulen
consulent-	consul
consult-	consult
consum-	consum
consumptie	consum
consumptief	consum
consumption	consum
contab-	contab
contactblad	contactbl
contactbrief	contactbr
contactcentrum	contactcent
contactdermatologie	contactdermatol
Contactologia	Contactol
contador	contad
Contaduria	Contad
contagi-	contag
contain-	contain
contamina-	contam
contaminer	contam
contempl-	contempl
contempor-	contemp
contenant	conten
contencioso	contenc
contend-	contend
contenido	conten
context-	context
continence	cont
continent-	cont
contingency	conting
contingent	conting
continu-	contin
contournement	contourn
contraccezi-	contraccez
contracepcion	contracepc
contraception	contracept
contraceptive	contracept
contract-	contract
contradict-	contradict
contralor-	contral
contrar-	contrar
contratacion	contrat
contratt-	contrat
contrevenant	contreven
contribu-	contrib
controinformaz-	controinf
control-	control
controller	controll
controv-	controv
conurbation	conurbat
convalescent	conval
convecti-	convect
conven-	conv
conventionland	conventionl
converge-	converg
conversation	conversat
conversationnel	conversat
conversion	convers
convert-	convert
conveyanc-	convey
conviction	convict
convivenz-	conviv
convivial	conviv
convivium	conviv
convoca-	convoc
convocation	convoc
convorb-	convorb
convuls-	convuls
conxuntur-	conxunt
cookbook	cookb
cookery	cook
cooking	cook
cool-	cool
coopera-	coop
coopera-	coop
coorden-	coord
coordin-	coord
coordonnee	coord
coparticipation	coparticip
Copenhagen	Cph
Copenhague	Cph
Copernic-	Copernic
copii-	copii
copolymer-	copolym
copper	copp
coproduction	coprod
copropriet-	copropr
Coptic	Copt
copyright	copyr
coracao	corac
coranique	coran
corazon	coraz
corcontica	corcon
cordage	cord
corderie	cord
cordier	cord
Cordillera	Cordill
cordobes	cordob
corespond-	coresp
corinthian	corinth
corintio	corint
Corisopit-	Corisopit
cormorant	cormor
cornelian	cornel
cornish	corn
Cornwall	Corn
Coronarien	Coron
coronary	coron
coroziun-	coroz
corporacion	corp
corporal	corpor
corporat-	corp
corporazione	corp
corporeal	corpor
corporel-	corpor
Corpszeitung	Corpsztg
corpuscula-	corpusc
correction-	correct
corrective	correct
correio	corr
correlacion	correl
correlat-	correl
correntesian-	correntes
correspond-	corresp
corrett-	corrett
correu	corr
correzien	correz
corriere	corr
corrispondenza	corrisp
corrosao	corros
corrosi-	corros
corrugated	corrugat
corrupcao	corrupc
corrupt-	corrupt
Corsica	Cors
corticeira	cortic
cosech-	cosech
cosent-	cosent
cosmeti-	cosmet
cosmetolog-	cosmetol
cosmi-	cosm
cosmochemi-	cosmochem
cosmochimi-	cosmochim
cosmochronolog-	cosmochronol
cosmogram	cosmogr
cosmolog-	cosmol
cosmonaut-	cosmonaut
cosmophobia	cosmophob
cosmopolis	cosmopol
cosmopolit-	cosmop
cosmos	cosm
costarricens-	costarric
costituzion-	cost
costru-	costr
costurar	costur
cotidiano	cotid
cotisa-	cotis
cotiz-	cotiz
cotoniero	coton
cotonnier	cotonn
cottag-	cottag
couleur	coul
coulometr-	coulom
councelling	counc
council-	counc
counsel-	couns
counter	count
countermeasur-	countermeas
countertrade	countertr
counties	cties
counting	count
countries	ctries
country	ctry
countryman	countrym
countryside	countrys
countrywide	countryw
county	cty
coupure	coup
couramment	couramm
courier-	cour
courriel	courr
courrier-	courr
courseware	coursew
court-	court
courthouse	courth
couverture	couv
couvr-	couv
covenant-	covenant
cover-	cover
coyuntur-	coyunt
Cote-d'Ivoire	Cote-d'Iv
cracked	crack
cracking	crack
Cracovie	Crac
cracoviens	crac
Cracow	Crac
craftsman	craftsm
craftwork-	craftwork
crainic-	crainic
cranio-facciale	cranio-facc
cranio-facial	cranio-fac
craniomandibular	craniomandib
creacion	creac
creador	cread
creamery	cream
creat-	creat
creazione	creaz
crecimiento	crecim
credibility	credibil
credit-	credit
Creditanstalt	Creditanst
Creglingen	Cregling
Cremlingen	Cremling
cremones-	cremon
crestere-	crest
cretaceous	cretac
cretinism-	cretin
cretere	cret
creat-	creat
credit-	credit
crelophonie	creloph
cretace	cretac
cretinisme	cretin
cretois	cret
criacao	cria
criador	criad
criativo	criat
cricketer	cricket
crikven-	crikven
crimean	crime
crimen	crim
criminal-	crim
crimineel	crim
criminel	crim
criminolog-	criminol
crippl-	crippl
criptogami-	criptogam
cristal-	cristal
cristallograph-	cristallogr
cristalograf-	cristalogr
cristianisme	crist
cristianismo	crist
Cristiano	Crist
cris-	cris
critic	crit
critica-	crit
critici-	crit
critique-	crit
crittogamico	crittogam
critiche	crit
critico	crit
crkv-	crkv
Crnogorsk-	Crnog
Croacia	Croac
croaker	croak
croati-	croat
crochet	croch
crofter	croft
croisement	croisem
cromatograf-	cromatogr
cronica	cron
cronikel	cron
cronista	cron
cronistic-	cron
cronologia	cronol
cronologic-	cronol
cronycke	cron
crop-	crop
crossbreeding	crossbreed
crosscurrent	crosscurr
crosslinking	crosslink
cronaca	cron
crucible	crucib
crucif-	crucif
crucigrama	crucigr
cruciverb-	cruciv
cruelty	cruel
cruising	cruis
crusader	crusad
crusading	crusad
crusher	crush
crushing	crush
crustac-	crustac
crveni	crv
cryobiolog-	cryobiol
cryoengineer-	cryoeng
cryogeni-	cryog
cryoimmunolog-	cryoimmunol
cryophysic-	cryophys
cryopreserv-	cryopreserv
cryotechni-	cryotech
cryptanthus	cryptanth
cryptogami-	cryptogam
cryptogram	cryptogr
cryptograph-	cryptogr
cryptology	cryptol
crystal	cryst
crystalli-	cryst
crystallochemi-	crystallochem
crystallograph-	crystallogr
crystals	cryst
csalad	csal
csaladgondozas	csalgond
csaladsegit-	csalseg
csaladterapia	csalter
csaladtortenet	csaltort
csaladved-	csalved
csecsmovedelem	csecsmoved
cselek-	cselek
cserkesz	cserk
cserkeszcsapat	cserkcsapat
cserkeszvezeto	cserkvez
csillag	csill
csillagasz-	csillag
csillagaszattortenet	csillagtort
csillagvizsgalo	csillvizsg
csodalatos	csod
csomagolas	csom
csomagolastechnika	csomtech
csoport	csop
csokken-	csokk
csodertesito	csodert
cuadernillo	cuad
cuaderno-	cuad
cualitat-	cual
cuantic-	cuant
cuarenta-	cuar
cuaternar	cuatern
cuatrimestral	cuatrimest
cuba-	cuba
cubicacion	cubic
cuentadante-	cuentad
cuestion-	cuest
cuid-	cuid
cuisin-	cuis
cukierniczy	cukier
cukoripar	cukorip
cukrar-	cukrar
cukrovar-	cukrov
cukrown-	cukr
culegere	culeg
culinaire	culin
culinary	culin
cultiv-	cultiv
cultur-	cult
culturisme	cultur
culturologica	culturol
cultuur-	cult
Cumberland	Cumberl
cumhuriyet	cumhur
cumplid-	cumpl
cumpliment-	cumplim
cumulat-	cumul
cuneiform	cuneif
cuneiforme	cuneif
cunicole	cunic
cunicultur-	cunicult
curatorial	curator
curiosidad	curiosid
curiosit-	curiosit
curler	curl
curling	curl
curmudgeon	curmudg
currency	curr
current-	curr
curricular	curric
curriculum	curric
cursorisch-	cursor
curtidor	curtid
curtiduria	curtid
Cusanus	Cusa
custodial	custod
custom-	cust
cutaneous	cutan
cutaneo	cutan
cutezator	cutez
cutter	cut
cutting	cut
cuvint-	cuv
Cuxhaven	Cuxhav
cvetn-	cvet
cvetovodstv-	cvetovod
cvicit-	cvic
vor-	vor
cyberneti-	cybern
cyclefabrik	cyclefabr
cyclic	cycl
cycling	cycl
cyclisme	cycl
cyclist	cycl
cycliste	cycl
cycloadditi-	cycloaddit
cyclodextrin	cyclodext
cyclopaedia	cyclop
cyclorama	cyclor
cyclostyled	cyclost
cyclotron	cyclotr
cyfres	cyfr
cyhoeddiadau	cyhoedd
cykli-	cykl
cylchgrawn	cylchgr
cylchlythyr	cylchl
cylind-	cylind
cymdeith-	cymd
cyneget-	cyneg
cyngor	cyng
cynophyl-	cynoph
cynosure	cynos
cyrillique	cyrill
cyrilometod-	cyrilometod
cystic	cyst
cystisk	cyst
cytobiolog-	cytobiol
cytochem-	cytochem
cytochimi-	cytochim
cytodiagnos-	cytodiagn
cytoembryolog-	cytoembryol
cytofizjolog-	cytofizjol
cytofluorometr-	cytofluorom
cytogenet-	cytogenet
cytolog-	cytol
cytometr-	cytom
cytopatholog-	cytopathol
cytopharmacolog-	cytopharmacol
cytophotometr-	cytophotom
cytoprotect-	cytoprot
cytoreduction	cytoreduct
cytoskelet-	cytoskelet
cytotoxicity	cytotox
cywilistycz-	cywilis
cywilizacja	cywiliz
cywiln-	cyw
czasopism-	czas
czechoslov-	czechoslov
Czestochowa	Czest
czestochowsk-	czest
czynnosc-	czyn
czyteln-	czyteln
czowiek	czow
cxeli	cx
cwiczenia	cwicz
cacanski	cacan
cajnyj	cajn
cakavsk-	cakav
caltubsk-	caltub
carob-	carob
casopiseck-	casopis
casopisoch	cas
castota	cast
cebelar	cebel
cech-	cech
cehoslov-	cehoslov
celabinsk-	celab
celeb-	celeb
celovecestv-	celovec
celovek	celov
cerkassk-	cerk
cern-	cern
cernomorsk-	cernomorsk
cernovik-	cernovi
cernozemnyj	cernozem
cerpadl-	cerp
cerven-	cerv
cesk-	ces
Ceskomoravsky	Ceskomor
ceskoslov-	ceskoslov
cessk-	cess
cetinjace	cetinj
cetnik-	cetn
cetverticn-	cetvert
cinitel-	cin
cinnost	cin
cirilica	cir
cirilicno	cir
cirilometodski	cirilomet
cislech	cisl
cislennyj	cisl
cist-	cist
cistoce	cist
citaonic-	cit
citinsk-	cit
citlucki	citluc
ckalovsk-	ckal
clanci	clan
clen-	clen
clovek	clov
cofrafija	cofr
covekov-	covek
covjek-	covjek
crevnia	crev
ctenie	cten
cukotskij	cukot
cuvassk-	cuv
cuzd-	cuzd
calsma	cals
ceviribilim	ceviribil
cimento	cim
coz	co
dabart-	dabart
Dachdecker	Dachdeck
dacoroman-	dacorom
dadgenileba-	dadgen
daerah	drh
daftar	daft
dagang	dag
dagblad	dagbl
dagboek	dagb
dagestansk-	dagest
dagkalender	dagkal
daglig	dagl
dagoverzicht-	dagoverz
dagsch-	dagsch
dagspress-	dagspress
Dahlem	Dahl
dahtulid-	dahtul
daily	dly
dairyfarming	dairyfarm
dairying	dairy
dairyland	dairyl
dairyman	dairym
dajdzest	dajdz
dakdekker-	dakdekk
Dakota	Dak
dakovstin-	dakovs
dakpannenindustrie	dakpannenind
dalesman	dalesm
Dalhousie	Dalhous
daljinsk-	daljin
dalmacij-	dalm
dalmata	dalm
dalmatica	dalm
dalmatin-	dalm
dalmatisch-	dalm
Dalmazia	Dalm
dalslandsk	dalsl
daln-	daln
dalnevostocn-	dalnevost
Damaszener	Damaszen
Damenbekleidung	Damenbekleid
damesmodevakblad	damesmodevakbl
Dampfkesseluntersuchung	Dampfkesselunters
Dampfkesselwesen-	Dampfkesselwes
dampkjelforening	dampkjelforen
dampkring	dampkr
damtidning	damtidn
dancer	danc
dancing	danc
Danemark	Dan
danesa	dan
dangereux	danger
dangerous	danger
Danish	Dan
danken	dank
Danmark	Dan
Dannenberg	Dannenb
Dansk-	Dan
dansonderzoek	dansonderz
Dansville	Dansv
dantel-	dantel
dantesc-	dant
Danub-	Danub
Danzig-	Danz
danc-	danc
danami	dan
danov-	dan
daoism	dao
Darbai	Darb
darbas	darb
darbingum-	darbingum
darbuot-	darbuot
dargobrivi	dargobr
darkness	darkn
Darmkrankheit	Darmkrankh
Darmstadter	Darmst
darstellend	darst
Darstellung-	Darst
Dartmouth	Dartm
daruvar-	daruvar
darulfunun-	darulf
darvinskij	darvin
darvoobrabot-	darvoobrab
darzininkyste	darzinink
darzov-	darz
dasavlet	dasavl
dasaxmareblad	dasaxmar
daseinsanalytisch	daseinsanal
dasik-	das
daskalikos	dask
dasologias	dasol
dasonomia	dasonom
dasoponia	dasopon
data-upper	data-upp
databehandling	databehandl
databook	datab
datacentral-	datacent
datafile	dataf
dataforening	dataforen
datainspektion-	datainsp
datalogisk	datal
datamail	datam
datamaskin-	datamask
datamater	datamat
datamatic	datamat
datamation	datamat
datapoint	datapt
datareview	datarev
datasekretariat	datasekr
datasystem	datasyst
datateknikk	datatek
datblygu	datbl
datebook	dateb
Datenbankfuhrer	Datenbankfuhr
Datenblatt	Datenbl
Datenhandbuch	Datenhandb
Datensammlung	Datensamml
Datenschutzfachtagung	Datenschutzfachtag
Datensicherung	Datensich
Datentechnik	Datentech
Datenverarbeitung	Datenverarb
datormagazin	datormag
Dauerbackwarenindustrie	Dauerbackwarenind
Daueremission	Daueremiss
Dauermission	Dauermiss
daugavpiliensis	daugavp
daugavpilsk-	daugavp
davcn-	davcn
davek	dav
davlenie	davl
davosianus	davos
dawn-	daw
dayansma	dayan
Dayton	Dayt
Daytona Beach	Dayt. Beac
dayworks	dayw
dalnic-	daln
damsk-	dams
dackspressen	dackspress
Dammtechnik	Dammtech
danisch	dan
Dabrowski-	Dabr
deactiva-	deactiv
deaf-	deaf
deal-	deal
deateln-	deat
debatblad	debatbl
Debattenbeitrag	Debattenbeitr
debattserie	debattser
debenture	debent
debiut-	deb
Debrecen	Debr
debtor	debt
decanter	decant
decalogo	decal
December	Dec
decenio	decen
decennial	decenn
decentrale	decent
deception	decept
decertification	decertif
Decheniana	Dechen
decimal	decim
decisao	decis
decision-	decis
decizie	deciz
deciziun-	deciz
Deckung	Deck
declama-	declam
declara-	declar
declassifi-	declassif
declining	declin
decod-	decod
decomposition	decompos
decontaminat-	decontam
decoracion	decor
decorador-	decor
decorar	decor
decorating	decor
decoration	decor
decorative	decor
decorator-	decor
decorazion-	decor
decoreren	decor
decorporat-	decorp
decyzj-	decyz
dedicado	dedic
dedicated	dedic
dedicatus	dedic
dedikasi	dedik
dedomen-	dedom
deduction	deduc
deep-	deep
deerbreeder	deerbreed
dfavoris-	dfavor
defectivo	defect
defektologie	defektol
defektolosk-	defektol
defektoskopie	defektosk
defence	def
defender	def
defensa	def
defense	def
defensie	def
defensor	def
defesa	def
deficienc-	defic
defin-	defin
deform-	deform
defray-	defray
defuncion	defunc
degenerati-	degener
Deggendorf-	Deggend
degradacin	degrad
degradation	degrad
deger-	deger
deild-	deil
deinosaur-	deinosaur
Deisenhofen	Deisenhof
Deisslingen	Deissling
dejavnosti	dejav
dejnost	dejn
dejstvie	dejstv
dekabr-	dek
dekadn-	dekad
dekapenthmero	dekapenthm
dekkariseura	dekkaris
Dekontamin-	Dekontam
dekor-	dekor
dekorat-	dekor
delatnost	delat
delavc-	delav
delavec	delav
delavsk-	delav
Delaware-	Del
Delbrck-	Delbr
Delcrederedienst	Delcredered
delect-	delect
deleg-	deleg
Delfik-	Delfik
delfryd	delf
deliblatsk	deliblat
delicia	delic
delicious	delic
delictiva	delict
delinea-	delin
delinkven-	delink
Delinquenz	Delinq
Delitzsch-	Delitzsch
deliver-	deliv
Delligsen	Delligs
delnicar	deln
delphinium	delphin
deltagelse	deltag
deltawerken	deltaw
deltion	delt
demandeur	demand
demencia	demenc
dementia	dement
deminerali-	deminer
demnitate	demn
democra-	democr
democristian-	democrist
demograf-	demogr
demograph-	demogr
demografia	demogr
demokracja	demokr
demokrasi	demokr
demokrat-	demokr
demokracia	demokr
demokrscanin	demokrsc
demologico	demol
demonstrac-	demonstr
demonstrat-	demonstr
Demoskopie	Demosk
demostrat-	demostr
demotica	demot
demotisch-	demot
Den Dungen	Den Dung
denarn-	denar
dendrobiolog-	dendrobiol
dendrokronologiska	dendrokronol
dendrolog-	dendrol
deneysel	deney
Denken	Denk
Denkmalpflege	Denkmalpfl
Denkmalrecht	Denkmalr
Denkschrift-	Denkschr
denksport	denksp
denkwurdig-	denkwurd
Denkwurdigkeit-	Denkwurdigk
Denmark-	Den
denominare	denom
denominator	denominat
denovi-	den
densificat-	densif
densitometr-	densitom
denta-	dent
dentist-	dent
dentofacial	dentofac
dentrolog-	dentrol
denturist	dent
denturol-	denturol
Denzlingen	Denzling
deontolog-	deontol
depanare-	depan
departament-	dep
departemen	dep
department-	dep
departure	depart
dependant	depend
dependenc-	depend
dependent	depend
depictus	depict
depletion	deplet
deployment	deploy
deponering	deponer
Deponietechnik-	Deponietech
deponir-	deponir
deport-	deport
deposit	depos
Deposition	Depos
depositor	depos
depository	depos
depozit-	depoz
depreciation	depreciat
depress-	depress
depurazione	depur
deputac-	deput
deputat-	deput
deputazione	deput
Derbyshire	Derbys
deregulation	deregul
derelict	derel
Derending-	Derending
derevann-	derev
derevoobrab-	derevoobrab
derevopererab-	derevopererab
dergisi	derg
deriva-	deriv
derive-	deriv
dermatitis	dermat
dermato	derm
Dermatocheirourgik-	Dermatocheir
Dermatolog-	Dermatol
dermatopatholog-	dermatopathol
dermatopharmacolog-	dermatopharmacol
dermatosifilolog-	dermatosifilol
dermatotoxicolog-	dermatotoxic
Dermatovenerolog-	Dermatovenerol
dermocosmetica	dermocosmet
dermoestetica	dermoestet
dermosifiliograf-	dermosifiliogr
dermosifilograf-	dermosifilogr
dernegi	dern
Derventski	Dervent
derzeitig-	derzeit
derzav-	derz
desalt-	desalt
desaprensivo	desaprens
desarroll-	desarro
desatilet-	desatil
desburocrat-	desburocr
descend-	descend
descentraliz-	descent
deschider-	deschid
descobri-	descob
desconocido	desconoc
describ-	descr
descripcion	descr
descripteur	descr
descripti-	descr
descriptor	descr
descritti-	descr
descrizion-	descr
descubri-	descub
descubrir	descub
desegreg-	desegreg
desempleo	desempl
Desensibiliserung	Desensibil
desenvolupament	desenvol
desenvolvemento	desenvolv
desenvolvimento	desenvolv
desequilibr-	desequilib
desercion	deserc
desgrav-	desgrav
desiderare	desider
design-	des
designbook	designb
desigual-	desigual
desinfekt-	desinfekt
dsinformation	dsinf
desintoxic-	desintox
deskbook	deskb
Deskriptor-	Deskr
desktop	deskt
deskundig	deskd
desocupacion	desocup
despartamant-	despartam
desplegable	despleg
desportivo	desport
Despotovac	Despot
despreocup-	despreocup
Dessau-	Dessau
