# List created using the lists from:
# http://www.ncbi.nlm.nih.gov/books/NBK3827/table/pubmedhelp.pubmedhelptable45/
Brevia	Brevia. (Rome).
Business ethics quarterly : the journal of the Society for Business Ethics	Bus. Ethics Q.
Business horizons	Bus. Horiz.
Business review (Federal Reserve Bank of Philadelphia)	Bus. Rev.
Business week	Bus. Week
Butlleti de la Societat d'Amics de la Historia i de la Ciencia Farmaceutica Catalana : BSAHCFC	Butll. Soc. Amics. Hist. Cienc. Farm. Catalana
By og bygd	By Bygd
Byzantinische Forschungen	Byzantinische Forsch.
Byzantinische Zeitschrift	Byzantinische Z.
Byzantinoslavica	Byzantinoslavica
Byzantion; revue internationale des etudes byzantines	Byzantion.
C.H.A.C. review	CHAC. Rev.
C.I.C.I.A.M.S. nouvelles	CICIAMS. Nouv.
CA: a cancer journal for clinicians	CA. Cancer J. Clin.
CADTH technology overviews	CADTH Technol. Overv.
CAFS news : a Centre for African Family Studies (CAFS) newsletter	CAFS News
CAL [magazine] Certified Akers Laboratories	CAL
CAMSI journal. Journal ACEMI	CAMSI J.
CANA	CANA
CANNT journal = Journal ACITN	CANNT J.
CAP today / College of American Pathologists	CAP Today
CARE briefs on development issues	CARE Briefs Develop. Isssues.
CBE life sciences education	CBE Life Sci. Educ.
CBE views : official publication of the Council of Biology Editors	CBE Views
CCAR journal (New York, N.Y. : 1991)	CCAR J.
CCICA annual : publication of the Catholic Commission on Intellectual and Cultural Affairs	CCICA Annual
CCL family foundations	CCL Family Found.
CCQ. Critical care quarterly	CCQ.
CDA journal California Dental Association	CDA J.
CDC bulletin. Communicable Disease Center (U.S.)	CDC Bull.
CDE working paper. University of Wisconsin--Madison. Center for Demography and Ecology	CDE Work. Pap.
CDR (London, England : Review)	CDR (Lond. Engl. Rev).
CDR (London, England : Weekly)	CDR (Lond. Engl. Wkly).
CEDPA world wide. Centre for Development and Population Activities	CEDPA World Wide.
CES odontologia / Instituto de Ciencias de la Salud	CES Odontol.
CEUR workshop proceedings	CEUR Workshop Proc.
CEX [reports]; civil effects exercise. U.S. Atomic Energy Commission	CEX Rep. Civ. Eff. Exerc.
CHA insight	CHA Insight
CHI ... conference proceedings / Conference on Human Factors in Computing Systems. CHI Conference	CHI Conf. Proc.
CIN plus	CIN Plus
CIRES, Cahiers ivoiriens de recherche economique et sociale. Centre ivoirien de recherches economiques et sociales	CIRES. Cah. Ivoir. Rech. Econ. Soc.
CJEM	CJEM
CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne	CMAJ
CMD. Current medical dialog	Cmd.
CME journal. Geriatric medicine	CME J. Geriatr. Med.
CNS & neurological disorders drug targets	CNS Neurol. Disord. Drug Targets
CNS drug reviews	CNS Drug Rev.
CNS drugs	CNS Drugs
CNS spectrums	CNS Spectr.
COMSIG review / COMSIG, Chiropractors and Osteopaths Musculo-Skeletal Interest Group	COMSIG Rev.
COO [reports]. U.S. Atomic Energy Commission	COO Rep.
COPD	COPD
CPJ : Canadian pharmaceutical journal = RPC : la revue pharmaceutique canadienne	CPJ
CPR population research	Cpr Popul. Res.
CRC critical reviews in diagnostic imaging	CRC Crit. Rev. Diagn. Imaging
CRC critical reviews in food science and nutrition	CRC Crit. Rev. Food Sci. Nutr.
CRHCS news : the newsletter of the Commonwealth Regional Health Community Secretariat for East, Central and Southern Africa. Commonwealth Regional Health Community for East, Central, and Southern Africa. Secretariat	CRHCS news
CRM advocate	CRM Advocate
CRNA : the clinical forum for nurse anesthetists	CRNA
CTWatch quarterly : cyberinfrastructure technology watch	CTWatch Q.
CVI forum	CVI Forum
CVI newswatch	CVI Newswatch
CVP	CVP
CW, Canadian welfare	Can. Welf.
Cabo	Cabo
Cadernos da Casa de Oswaldo Cruz	Cad. Casa Oswaldo Cruz
Cadernos de historia e saude / Casa de Oswaldo Cruz	Cad. Hist. Saude
Cadernos de saude publica	Cad. Saude Publica
Caduceus (Springfield, Ill.)	Caduceus
Caementum	Caementum
Cahiers O. R. S. T. O. M. Serie sciences humaines	Cah. Orstom. (Sci. Hum).
Cahiers R. M. F.: bulletin medical-guide du praticien-revue medicale francaise	Cah. Rmf. Bull. Med. Guide. Pract. Rev.
Cahiers africains d'administration publique = African administrative studies	Cah. Afr. Adm. Publique
Cahiers alsaciens d'archeologie, d'art et d'histoire	Cah. Alsac. Archeol. Art. Hist.
Cahiers bruxellois	Cah. Brux.
Cahiers d'Alexandrie	Cah. Alex.
Cahiers d'anesthesiologie	Cah. Anesthesiol.
Cahiers d'archeologie et d'histoire du Berry	Cah. Archeol. Hist. Berry
Cahiers d'etudes africaines	Cah. Etud. Afr.
Cahiers d'etudes medievales (Montreal, Quebec)	Cah. Etud. Mediev.
Cahiers d'etudes sur la Mediterranee orientale et le monde turco-iranien / Fondation nationale des science politiques, Centre d'etudes et de recherches internationales	Cah. Mediterr. Orient. Monde Turco. Iran.
Cahiers d'histoire	Cah. Hist.
Cahiers d'histoire (Espaces Marx (Association))	Cah. Hist. Espaces. Marx Assoc.
Cahiers d'histoire de la seconde guerre mondiale / Ministere de l'education nationale, Archives generales du royaume, Centre de recherches et d'etudes historiques de la seconde guerre mondiale	Cah. Hist. Second. Guerr. Mond.
Cahiers d'histoire mondiale. Journal of world history	Cah. Hist. Mond.
Cahiers d'homeopathie et de therapeutique comparee	Cah. Homeopath. Ther. Comp.
Cahiers d'odonto-stomatologie	Cah. Odontostomatol. Touraine.
Cahiers danthropologie	Cah. Anthropol.
Cahiers de civilisation alpine / Centre d'etudes franco-italien, Universites de Turin et de Savoie = Quaderni di civilta alpina / Centro di studi franco-italiani, Universita di Torino e della Savoia	Cah. Civilis. Alp.
Cahiers de geographie de Quebec	Cah. Geogr. Que.
Cahiers de geographie du Quebec	Cah. Geogr. Que.
Cahiers de lAcademie de Bretagne	Cah. Acad. Bretagne
Cahiers de medecine interprofessionnelle	Cah. Med. Inter. Prof.
Cahiers de sociologie et de demographie medicales	Cah. Sociol. Demogr. Med.
Cahiers des Ameriques latines (Paris, France : 1985)	Cah. Am. Lat.
Cahiers des annales de Normandie. Annales de Normandie	Cah. Ann. Normandie
Cahiers des etudes anciennes	Cah. Etud. Anc.
Cahiers des religions africaines	Cah. Relig. Afr.
Cahiers des sciences humaines	Cah. Sci. Hum.
Cahiers du Centre de recherches et d'etudes sur Paris et l'Ile-de-France (CREPIF)	Cah. Cent. Rech. Etud. Paris Lle. de France.
Cahiers du monde russe	Cah. Monde Russe
Cahiers du monde russe et sovietique	Cah. Monde Russe Sov.
Cahiers du seminaire de philosophie	Cah. Semin. Philos.
Cahiers economiques de Bruxelles	Cah. Econ. Brux.
Cahiers economiques et sociaux	Cah. Econ. Soc.
Cahiers internationaux d'histoire economique et sociale	Cah. Int. Hist. Econ. Soc.
Cahiers medicaux de l'union francaise; revue medico-chirurgicale de la France d'outre-mer	Cah. Med. Union. Fr.
Cahiers medicaux lyonnais	Cah. Med. Lyon.
Cahiers quebecois de demographie / Association des demographes du Quebec	Cah. Que. Demogr.
Cahiers victoriens & edouardiens	Cah. Victor. Edouardiens
Cairo	Cairo
Cairo today	Cairo Today
Calcified tissue international	Calcif. Tissue Int.
Calcified tissue research	Calcif. Tissue Res.
Calcium binding proteins	Calcium Bind. Proteins
Calculus of variations and partial differential equations	Calc. Var. Partial Differ. Equ.
California Western international law journal	Calif. West. Int. Law J.
California Western law review	Calif. West. Law Rev.
California and western medicine	Cal. West. Med.
California code of regulations	Calif. Code Regul.
California counts / Public Policy Institute of California	Calif. Counts
California law review	Calif. Law Rev.
California magazine (Beverly Hills, Calif.)	Calif. Mag.
California management review	Calif. Manage. Rev.
California nurse	Calif. Nurse
California public health report. California. Department of Public Health	Calif. Public Health Rep.
California state journal of medicine	Cal. State J. Med.
California's health	Calif. Health
Californian journal of health promotion	Californian J. Health Promot.
Calyx (Toronto, Ont.)	Calyx
Cambodge soir	Cambodge Soir
Cambridge anthropology : a journal of the Department of Social Anthropology, Cambridge University	Camb. Anthropol.
Cambridge municipal code 1988 : a codification of the general ordinances of the city of Cambridge, Massachusetts / codified, indexed and published by Book Publishing Company. Cambridge (Mass.)	Camb. Munic. Code 1988 Camb. Mass.
Cambridge quarterly of healthcare ethics : CQ : the international journal of healthcare ethics committees	Camb. Q. Healthc. Ethics
Campbell law review	Campbell Law Rev.
Canada	Canada (Tor).
Canada Supreme Court reports. Recueil des arrets de la Cour Supreme du Canada. Canada. Supreme Court	Can. Supreme Court Rep. Can. Supreme Court
Canada communicable disease report = Releve des maladies transmissibles au Canada	Can. Commun. Dis. Rep.
Canada diseases weekly report = Rapport hebdomadaire des maladies au Canada	Can. Dis. Wkly. Rep.
Canada's health & welfare	Can. Health Welf.
Canada's mental health	Can. Ment. Health
Canadian AIDS news	Can. AIDS News
Canadian Association of Radiologists journal = Journal l'Association canadienne des radiologistes	Can. Assoc. Radiol. J.
Canadian HIV-AIDS policy & law newsletter / Canadian HIV-AIDS Legal Network = Reseau juridique canadien VIH-SIDA	Can. HIV. AIDS. Policy Law Newsl.
Canadian HIV/AIDS policy & law review / Canadian HIV/AIDS Legal Network	Can. HIV. AIDS. Policy Law Rev.
Canadian Urological Association journal = Journal de l'Association des urologues du Canada	Can. Urol. Assoc. J.
Canadian aeronautics and space journal. Le journal aeronautique et spatial du Canada	Can. Aeronaut. Space J.
Canadian and international education. Education canadienne et internationale	Can. Int. Educ.
Canadian bar journal	Can. Bar J.
Canadian bulletin of medical history = Bulletin canadien d'histoire de la medecine	Can. Bull. Med. Hist.
Canadian critical care nursing journal	Can. Crit. Care Nurs. J.
Canadian doctor	Can. Doct.
Canadian family law quarterly	Can. Fam. Law Q.
Canadian family physician Medecin de famille canadien	Can. Fam. Physician
Canadian geriatrics journal : CGJ	Can. Geriatr. J.
Canadian human rights advocate	Can. Hum. Rights Advocate
Canadian human rights yearbook = Annuaire canadien des droits de la personne	Can. Hum. Rights Yearb.
Canadian journal of African studies	Can. J. Afr. Stud.
Canadian journal of Latin American and Caribbean studies = Revue canadienne des etudes latino-americaines et caraibes	Can. J. Lat. Am. Caribb. Stud.
Canadian journal of anaesthesia = Journal canadien d'anesthesie	Can. J. Anaesth.
Canadian journal of applied physiology = Revue canadienne de physiologie appliquee	Can. J. Appl. Physiol.
Canadian journal of applied sport sciences. Journal canadien des sciences appliquees au sport	Can. J. Appl. Sport Sci.
Canadian journal of behavioural science. Revue canadienne des sciences du comportement	Can. J. Behav. Sci.
Canadian journal of biochemistry and cell biology = Revue canadienne de biochimie et biologie cellulaire	Can. J. Biochem. Cell Biol.
Canadian journal of botany. Journal canadien de botanique	Can. J. Bot.
Canadian journal of cardiovascular nursing = Journal canadien en soins infirmiers cardio-vasculaires	Can. J. Cardiovasc. Nurs.
Canadian journal of community mental health = Revue canadienne de sante mentale communautaire	Can. J. Commun. Ment. Health
Canadian journal of comparative medicine (Gardenvale, Quebec)	Can. J. Comp. Med.
Canadian journal of comparative medicine. Revue canadienne de medecine comparee	Can. J. Comp. Med.
Canadian journal of criminology. Revue canadienne de criminologie	Can. J.. Criminol.
Canadian journal of dietetic practice and research : a publication of Dietitians of Canada = Revue canadienne de la pratique et de la recherche en dietetique : une publication des Dietetistes du Canada	Can. J. Diet. Pract. Res.
Canadian journal of earth sciences	Can. J. Earth Sci.
Canadian journal of experimental psychology = Revue canadienne de psychologie experimentale	Can. J. Exp. Psychol.
Canadian journal of family law. Revue canadienne de droit familial	Can. J. Fam. Law.
Canadian journal of fisheries and aquatic sciences. Journal canadien des sciences halieutiques et aquatiques	Can. J. Fish. Aquat. Sci.
Canadian journal of forest research. Journal canadien de la recherche forestiere	Can. J. For. Res.
Canadian journal of gastroenterology = Journal canadien de gastroenterologie	Can. J. Gastroenterol.
Canadian journal of genetics and cytology. Journal canadien de genetique et de cytologie	Can. J. Genet. Cytol.
Canadian journal of history of sport = Revue canadienne de l'histoire des sports	Can. J. Hist. Sport
Canadian journal of law and society = Revue canadienne de droit et societe	Can. J. Law Soc.
Canadian journal of linguistics. La revue canadienne de linguistique	Can. J. Linguist.
Canadian journal of occupational therapy. Revue canadienne d'ergotherapie	Can. J. Occup. Ther.
Canadian journal of ophthalmology. Journal canadien d'ophtalmologie	Can. J. Ophthalmol.
Canadian journal of otolaryngology. Journal canadien d'otolaryngologie	Can. J. Otolaryngol.
Canadian journal of otolaryngology. Journal canadien d'otolaryngologie. Supplement	Can. J. Otolaryngol. Suppl.
Canadian journal of political science. Revue canadienne de science politique	Can. J. Polit. Sci.
Canadian journal of psychiatry. Revue canadienne de psychiatrie	Can. J. Psychiatry.
Canadian journal of public health = Revue canadienne de sante publique	Can. J. Public Health
Canadian journal of research. Section E, Medical sciences	Can. J. Res. E. Med. Sci.
Canadian journal of rural medicine : the official journal of the Society of Rural Physicians of Canada = Journal canadien de la medecine rurale : le journal officiel de la Societe de medecine rurale du Canada	Can. J. Rural Med.
Canadian journal of sociology = Cahiers canadiens de sociologie	Can. J. Sociol.
Canadian journal of sport sciences = Journal canadien des sciences du sport	Can. J. Sport Sci.
Canadian journal of surgery. Journal canadien de chirurgie	Can. J. Surg.
Canadian journal of urban research	Can. J. Urban Res.
Canadian journal of veterinary research = Revue canadienne de recherche veterinaire	Can. J. Vet. Res.
Canadian journal of women and the law = Revue juridique La femme et le droit	Can. J. Women Law
Canadian journal on aging = La revue canadienne du vieillissement	Can. J. Aging
Canadian labour	Can. Labour
Canadian oncology nursing journal = Revue canadienne de nursing oncologique	Can. Oncol. Nurs. J.
Canadian operating room nursing journal	Can. Oper. Room Nurs. J.
Canadian pharmacists journal : CPJ = Revue des pharmaciens du Canada : RPC	Can. Pharm. J. (Ott).
Canadian psychological review. Psychologie canadienne	Can. Psychol. Rev.
Canadian psychology = Psychologie canadienne	Can. Psychol.
Canadian public administration : Administration publique du Canada	Can. Public Adm.
Canadian public policy. Analyse de politiques	Can. Public Policy.
Canadian respiratory journal : journal of the Canadian Thoracic Society	Can. Respir. J.
Canadian review of sociology = Revue canadienne de sociologie	Can. Rev. Sociol.
Canadian social trends	Can. Soc. Trends
Canadian social work review = Revue canadienne de service social	Can. Soc. Work Rev.
Canadian statistical review (Ottawa, Ont.)	Can. Stat. Rev.
Canadian women's studies = Les cahiers de la femme	Can. Womens. Stud.
Canadian-American Slavic studies. Revue canadienne-americaine d'etudes slaves	Can. Am. Slav. Stud.
Cancer	Cancer
Cancer biomarkers : section A of Disease markers	Cancer Biomark.
Cancer bulletin (Houston, Tex.)	Cancer Bull.
Cancer causes & control : CCC	Cancer Causes Control
Cancer cell	Cancer Cell
Cancer cell international	Cancer Cell Int.
Cancer cells (Cold Spring Harbor, N.Y. : 1989)	Cancer Cells
Cancer chemotherapy and biological response modifiers	Cancer Chemother. Biol. Response Modif.
Cancer chemotherapy reports. Part 1	Cancer Chemother. Rep.
Cancer chemotherapy reports. Part 2	Cancer Chemother. Rep. 2
Cancer chemotherapy reports. Part 3	Cancer Chemother. Rep. 3
Cancer clinical trials	Cancer Clin. Trials
Cancer control : journal of the Moffitt Cancer Center	Cancer Control
Cancer detection and prevention. Supplement : official publication of the International Society for Preventive Oncology, Inc	Cancer Detect. Prev. Suppl.
Cancer drug delivery	Cancer Drug Deliv.
Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology	Cancer Epidemiol. Biomarkers Prev.
Cancer gene therapy	Cancer Gene Ther.
Cancer genomics & proteomics	Cancer Genomics Proteomics
Cancer growth and metastasis	Cancer Growth Metastasis
Cancer imaging : the official publication of the International Cancer Imaging Society	Cancer Imaging
Cancer immunology, immunotherapy : CII	Cancer Immunol. Immunother.
Cancer informatics	Cancer Inform.
Cancer investigation	Cancer Invest.
Cancer journal (Sudbury, Mass.)	Cancer J.
Cancer metastasis reviews	Cancer Metastasis Rev.
Cancer microenvironment : official journal of the International Cancer Microenvironment Society	Cancer Microenviron.
Cancer news	Cancer News
Cancer prevention & control : CPC = Prevention & controle en cancerologie : PCC	Cancer Prev. Control
Cancer prevention research (Philadelphia, Pa.)	Cancer Prev. Res. (Phila).
Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique	Cancer Radiother.
Cancer reports	Cancer Rep.
Cancer research and treatment : official journal of Korean Cancer Association	Cancer Res. Treat.
Cancer research. Supplement	Can. Res. Suppl.
Cancer treatment reports	Cancer Treat. Rep.
Cancers	Cancers (Basel).
Candollea	Candollea
Cantarela	Cantarela
Cantium	Cantium
Cape Breton post	Cape Breton Post
Capital University law review	Cap. Univ. Law Rev.
Capitation rates & data	Capitation Rates Data
Caravelle (Toulouse, France)	Caravelle
Carbon	Carbon N. Y.
Carbon balance and management	Carbon Balance Manag.
Carcinogenesis	Carcinogenesis
Carcinogenesis; a comprehensive survey	Carcinog. Compr. Surv.
Cardio-vascular nursing	Cardiovasc. Nurs.
Cardiologia	Cardiologia
Cardiologia (Rome, Italy)	Cardiologia
Cardiology	Cardiology
Cardiology in the young	Cardiol. Young
Cardiology management	Cardiol. Manage.
Cardioscience	Cardioscience
Cardiovascular & hematological agents in medicinal chemistry	Cardiovasc. Hematol. Agents Med. Chem.
Cardiovascular & hematological disorders drug targets	Cardiovasc. Hematol. Disord. Drug Targets
Cardiovascular and interventional radiology	Cardiovasc. Intervent. Radiol.
Cardiovascular diagnosis and therapy	Cardiovasc. Diagn. Ther.
Cardiovascular drug reviews	Cardiovasc. Drug Rev.
Cardiovascular drugs and therapy / sponsored by the International Society of Cardiovascular Pharmacotherapy	Cardiovasc. Drugs Ther.
Cardiovascular engineering (Dordrecht, Netherlands)	Cardiovasc. Eng.
Cardiovascular journal of Africa	Cardiovasc. J. Afr.
Cardiovascular journal of South Africa : official journal for Southern Africa Cardiac Society [and] South African Society of Cardiac Practitioners	Cardiovasc. J. S. Afr.
Cardiovascular pathology : the official journal of the Society for Cardiovascular Pathology	Cardiovasc. Pathol.
Cardiovascular psychiatry and neurology	Cardiovasc. Psychiatry Neurol.
Cardiovascular revascularization medicine : including molecular interventions	Cardiovasc. Revasc. Med.
Cardiovascular reviews & reports	Cardiovasc. Rev. Rep.
Cardiovascular surgery (London, England)	Cardiovasc. Surg.
Cardiovascular ultrasound	Cardiovasc. Ultrasound
Cardozo law review	Cardozo Law Rev.
Care giver : journal of the College of Chaplains	Care Giver
Care management journals : Journal of case management ; The journal of long term home health care	Care Manag. J.
Caribbean affairs (Port of Spain, Trinidad and Tobago)	Caribb. Aff.
Caribbean health	Caribb. Health
Caribbean studies (Rio Piedras, San Juan, P.R.)	Caribb. Stud.
Caridad, ciencia y arte	Caridad. Cienc. Arte
Caring : National Association for Home Care magazine	Caring
Carinthia I : Mittheilungen des Geschichtsvereins fur Karnten	Carinthia I
Caritas	Caritas
Carlsberg research communications	Carlsberg Res. Commun.
Carnet de l'econome	Carnet Econ.
Carolina planning	Carol. Plann.
Carrefour africain	Carrefour Afr.
Carta economica regional : CER	Carta Econ. Reg.
Carta informativa (Asociacion Demografica Salvadorena)	Carta Inf.
Cartilage	Cartilage
Casa de la mujer	Casa Mujer
Case Western Reserve journal of international law	Case West. Reserve J. Int. Law
Case Western Reserve law review	Case West. Reserve Law Rev.
Case and comment	Case Comment
Case reports in anesthesiology	Case Rep. Anesthesiol.
Case reports in dentistry	Case Rep. Dent.
Case reports in dermatological medicine	Case Rep. Dermatol. Med.
Case reports in dermatology	Case Rep. Dermatol.
Case reports in emergency medicine	Case Rep. Emerg. Med.
Case reports in endocrinology	Case Rep. Endocrinol.
Case reports in gastroenterology	Case Rep. Gastroenterol.
Case reports in gastrointestinal medicine	Case Rep. Gastrointest. Med.
Case reports in genetics	Case Rep. Genet.
Case reports in hematology	Case Rep. Hematol.
Case reports in infectious diseases	Case Rep. Infect. Dis.
Case reports in medicine	Case Rep. Med.
Case reports in nephrology and urology	Case Rep. Nephrol. Urol.
Case reports in neurological medicine	Case Rep. Neurol. Med.
Case reports in neurology	Case Rep. Neurol.
Case reports in obstetrics and gynecology	Case Rep. Obstet. Gynecol.
Case reports in oncological medicine	Case Rep. Oncol. Med.
Case reports in oncology	Case Rep. Oncol.
Case reports in ophthalmological medicine	Case Rep. Ophthalmol. Med.
Case reports in ophthalmology	Case Rep. Ophthalmol.
Case reports in orthopedics	Case Rep. Orthop.
Case reports in otolaryngology	Case Rep. Otolaryngol.
Case reports in pathology	Case Rep. Pathol.
Case reports in pediatrics	Case Rep. Pediatr.
Case reports in psychiatry	Case Rep. Psychiatry
Case reports in pulmonology	Case Rep. Pulmonol.
Case reports in radiology	Case Rep. Radiol.
Case reports in rheumatology	Case Rep. Rheumatol.
Case reports in surgery	Case Rep. Surg.
Case reports in transplantation	Case Rep. Transplant.
Case reports in urology	Case Rep. Urol.
Case reports in vascular medicine	Case Rep. Vasc. Med.
Case reports. Children's Memorial Hospital (Chicago, Ill.)	Case Rep. Child. Meml. Hosp. Chic.
Case studies in business, industry and government statistics : CSBIGS	Case Studies Bus. Ind. Gov. Stat.
Case studies in health administration	Case Stud. Health Adm.
Casopis Matice moravske (1968)	Cas. Matice Moravske
Casopis Narodniho musea	Cas. Nar. Muz.
Casopis ceskeho lekarnictva	Cas. Cesk. Lek.
Casopis ceskoslovenskych veterinaru	Cas. Cesk. Vet.
Casopis lekaru ceskych	Cas. Lek. Cesk.
Casopis za suvremenu povijest / Institut za historiju radnickog pokreta Hrvatske, Zagreb	Cas. Suvrem. Povij.
Casopis za zgodovino in narodopisje. Review for history and ethnography	Cas. Zgodovino Narodop.
Catalysis letters	Catal. Letters
Catering & health	Cater. Health
Catheterization and cardiovascular diagnosis	Cathet. Cardiovasc. Diagn.
Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions	Catheter. Cardiovasc. Interv.
Catholic University law review	Cathol. Univers. Law Rev.
Catholic standard (Washington, D.C.)	Cathol. Stand.
Catholic update	Cathol. Update
Catholic woman	Cathol. Woman
Catholic world	Cathol. World
Cattle practice : journal of the British Cattle Veterinary Association	Cattle Pract.
Ce Focus	CE Focus
Ceara medico : orgao do Centro Medico Cearense	Ceara Med.
Cell	Cell
Cell & chromosome	Cell Chromosome
Cell adhesion & migration	Cell Adh. Migr.
Cell and muscle motility	Cell Muscle Motil.
Cell and tissue banking	Cell Tissue Bank.
Cell and tissue biology	Cell tissue biol.
Cell and tissue kinetics	Cell Tissue Kinet.
Cell and tissue research	Cell Tissue Res.
Cell biology international reports	Cell Biol. Int. Rep.
Cell biology reviews : CBR	Cell Biol. Rev.
Cell calcium	Cell Calcium
Cell communication and signaling : CCS	Cell Commun. Signal.
Cell communication insights	Cell Commun. Insights
Cell cycle (Georgetown, Tex.)	Cell Cycle
Cell death & disease	Cell Death Dis.
Cell death and differentiation	Cell Death Differ.
Cell differentiation and development : the official journal of the International Society of Developmental Biologists	Cell Differ. Dev.
Cell growth & differentiation : the molecular biology journal of the American Association for Cancer Research	Cell Growth Differ.
Cell health and cytoskeleton	Cell Health Cytoskelet.
Cell host & microbe	Cell Host Microbe
Cell motility and the cytoskeleton	Cell Motil. Cytoskeleton
Cell reports	Cell Rep.
Cell stem cell	Cell Stem Cell
Cell stress & chaperones	Cell Stress Chaperones
Cell vision : the journal of analytical morphology	Cell Vis.
Cells (Basel, Switzerland)	Cells
Cells, tissues, organs	Cells. Tissues. Organs
Cellscience	Cellscience
Cellular and molecular biology (Noisy-le-Grand, France)	Cell. Mol. Biol. (Noisy-le-grand).
Cellular and molecular biology, including cyto-enzymology	Cell. Mol. Biol. Incl. Cyto. Enzymol.
Cellular and molecular life sciences : CMLS	Cell. Mol. Life Sci.
Cellular oncology (Dordrecht)	Cell. Oncol. (Dordr).
Cellular oncology : the official journal of the International Society for Cellular Oncology	Cell. Oncol.
Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology	Cell. Physiol. Biochem.
Cellular reprogramming	Cell. Reprogram.
Centaur (London, England)	Centaur Lond. Engl.
Centaurus; international magazine of the history of science and medicine	Centaurus.
Center view : a publication of the Center for Applied and Professional Ethics, University of Tennessee, Knoxville	Cent. View
Centerpoint	Centerpoint
Centerviews (Honolulu, Hawaii)	Centerviews
Central Asian survey	Centr. Asian Surv.
Central European journal of public health	Cent. Eur. J. Public Health
Central issues in anthropology : a journal of the Central States Anthropological Society	Cent. Issues Anthropol.
Central nervous system agents in medicinal chemistry	Cent. Nerv. Syst. Agents Med. Chem.
Central nervous system trauma : journal of the American Paralysis Association	Cent. Nerv. Syst. Trauma
Central states speech journal	Cent. States Speech J.
Centro de Estudios de Recursos Odontologicos para el Nino : CERON	Cent. Estud. Recur. Odontol. Nino
Cephalalgia : an international journal of headache	Cephalalgia
Cerebellum (London, England)	Cerebellum
Cerebral cortex (New York, N.Y. : 1991)	Cereb. Cortex
Cerebral palsy bulletin	Cereb. Palsy Bull.
Cerebral palsy review	Cereb. Palsy Rev.
Cerebrospinal fluid research	Cerebrospinal Fluid Res.
Cerebrovascular and brain metabolism reviews	Cerebrovasc. Brain Metab. Rev.
Cerebrovascular diseases (Basel, Switzerland)	Cerebrovasc. Dis.
Cerebrovascular diseases extra	Cerebrovasc. Dis. Extra
Cerebrum : the Dana forum on brain science	Cerebrum
Ceres	Ceres
Certified milk	Certif. Milk
Ceska a Slovenska farmacie : casopis Ceske farmaceuticke spolecnosti a Slovenske farmaceuticke spolecnosti	Ceska Slov. Farm.
Ceska a slovenska oftalmologie : casopis Ceske oftalmologicke spolecnosti a Slovenske oftalmologicke spolecnosti	Cesk. Slov. Oftalmol.
Ceska a slovenska psychiatrie / Ceska lekarska spolecnost J.E. Purkyne	Ceska Slov. Psychiatr.
Ceska gynekologie / Ceska lekarska spolecnost J. Ev. Purkyne	Ceska Gynekol.
Ceskoslovenska dermatologie	Cesk. Dermatol.
Ceskoslovenska epidemiologie, mikrobiologie, imunologie	Cesk. Epidemiol. Mikrobiol. Imunol.
Ceskoslovenska farmacie	Cesk. Farm.
Ceskoslovenska fysiologie / Ustredni ustav biologicky	Cesk. Fysiol.
Ceskoslovenska gastroenterologie a vyziva	Cesk. Gastroenterol. Vyz.
Ceskoslovenska gynekologie	Cesk. Gynekol.
Ceskoslovenska hygiena	Cesk. Hyg.
Ceskoslovenska morfologie	Cesk. Morfol.
Ceskoslovenska nemocnice	Ceskoslov. Nemocnice
Ceskoslovenska neurologie	Cesk. Neurol.
Ceskoslovenska neurologie a neurochirurgie	Cesk. Neurol. Neurochir.
Ceskoslovenska oftalmologie	Cesk. Oftalmol.
Ceskoslovenska onkologia	Cesk. Onkol.
Ceskoslovenska otolaryngologie	Cesk. Otolaryngol.
Ceskoslovenska patologie	Cesk. Patol.
Ceskoslovenska pediatrie	Cesk. Pediatr.
Ceskoslovenska psychiatrie	Cesk. Psychiatr.
Ceskoslovenska psychologie	Cesk. Psychol.
Ceskoslovenska radiologie	Cesk. Radiol.
Ceskoslovenska rentgenologie	Cesk. Rentgenol.
Ceskoslovenska stomatologie	Cesk. Stomatol.
Ceskoslovenske zdravotnictvi	Cesk. Zdrav.
Ceskoslovensky casopis historicky / Ceskoslovenska akademie ved	Cesk. Cas. Hist.
Cesra Saule	Cesra Saule
Ch'ikwa Kijae Hakhoe chi. The Journal of the Korea Research Society for Dental Materials	Chilwa. Kijae Hakhoe Chi.
Ch'onmun Hakhoe chi. The journal of the Korean Astronomical Society. Han'guk Ch'onmun Hakhoe	J. Korean Astron. Soc.
Chaeoe Hanin yon'gu = Studies of Koreans abroad	Chaeoe Hanin Yon. Gu.
Chain drug review	Chain Drug Rev.
Challenge (Atlanta, Ga.)	Challenge (Atlanta. Ga).
Chance (New York, N.Y.)	Chance (N. Y).
Change	Change
Changes (Hove, England)	Changes
Changgeng yi xue za zhi / Changgeng ji nian yi yuan = Chang Gung medical journal / Chang Gung Memorial Hospital	Changgeng Yi Xue Za Zhi
